会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
極洋,1301,水産・農林業,プライム（内国株式）,2025-03-31,東京都,57070800896,0.83556557,302681000000.0,11080000000.0,0.03432,6740000000.0,0.0,,0.3652267498366435,16.718859,113763000000.0,74995000000.0,134258000000.0,79916000000.0,7514000000.0,14053000000.0,30332100000.0,0.531481940393199
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,医薬品,グロース（内国株式）,2024-12-31,東京都,4326904832,2.1366358,194643000.0,-212850000.0,-5.45098,-236442000.0,-2.7095098,,0.9824758843873473,,39410000.0,39410000.0,2232073000.0,,2173358000.0,,2192663000.0,0.5067509189903995
ニッスイ,1332,水産・農林業,プライム（内国株式）,2025-03-31,東京都,311838998528,1.1805265,886126000000.0,31783000000.0,0.0456,25381000000.0,0.027520001,0.097279996,0.4363657269585653,11.583924,348939000000.0,226179000000.0,332568000000.0,215270000000.0,14707000000.0,30453000000.0,4946100000.0,0.015861069408725316
マルハニチロ,1333,水産・農林業,プライム（内国株式）,2025-03-31,東京都,168786624512,0.7452105,1078631000000.0,30382000000.0,0.03577,23264000000.0,0.0214,0.11533,0.33699984292678775,12.775449,405816000000.0,236915000000.0,414576000000.0,270911000000.0,49240000000.0,44671000000.0,40029700000.0,0.23716156487953263
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,情報・通信業,グロース（内国株式）,2025-02-28,東京都,24132569088,18.972149,2144641000.0,594987000.0,-1.1743599,425072000.0,0.118090004,,0.7590650897301636,,451393000.0,451393000.0,1539832000.0,5200000.0,488886000.0,,1088439000.0,0.045102491824678126
ユキグニファクトリー,1375,水産・農林業,プライム（内国株式）,2025-03-31,新潟県,41389244416,3.684614,53139000000.0,2420000000.0,-0.09883001,1502000000.0,0.026099999,0.08529,0.32655540297876834,6.56962,25343000000.0,9502000000.0,11501000000.0,17159000000.0,3903000000.0,186000000.0,-13711800000.0,-0.33128896633588645
カネコ種苗,1376,水産・農林業,スタンダード（内国株式）,2025-05-31,群馬県,19243276288,0.76084423,64508666000.0,1511651000.0,0.02497,1200256000.0,0.021389998,0.05633,0.5071656318283071,,24306507000.0,22983956000.0,38277060000.0,,1934582000.0,2264370000.0,15555612000.0,0.8083660893909419
サカタのタネ,1377,水産・農林業,プライム（内国株式）,2025-05-31,神奈川県,164258676736,1.0003917,92920000000.0,12258000000.0,0.19252001,9711000000.0,0.12873,0.0747,0.844585466997581,17.990046,29220000000.0,20037000000.0,113848000000.0,2868000000.0,29525000000.0,18464000000.0,97552800000.0,0.5938973936627342
ホクト,1379,水産・農林業,プライム（内国株式）,2025-03-31,長野県,58290143232,1.007526,83104000000.0,6628000000.0,0.00956,4441000000.0,0.06201,0.093100004,0.5278479836461625,,50813000000.0,24823000000.0,38621000000.0,33066000000.0,16323000000.0,8374000000.0,-6330200000.0,-0.10859812052279981
Ｃｏｃｏｌｉｖｅ,137A,情報・通信業,グロース（内国株式）,2025-05-31,,3762937856,10.174312,1301771000.0,279617000.0,,209170000.0,,,0.8409387789823908,,168282000.0,168279000.0,1020383000.0,,,,852101000.0,0.22644567425989404
秋川牧園,1380,水産・農林業,スタンダード（内国株式）,2025-03-31,山口県,4144107264,1.9419448,7957457000.0,-3198000.0,0.00243,28185000.0,0.0076099997,0.029140001,0.30618201423382474,,4939245000.0,2688933000.0,2933981000.0,3422129000.0,968035000.0,118784000.0,-1922115200.0,-0.4638188824641388
アクシーズ,1381,水産・農林業,スタンダード（内国株式）,2025-06-30,,17156008960,0.79425967,26426000000.0,2121000000.0,0.11847,1720000000.0,0.06509,0.08128,0.8613758723828514,,3476000000.0,2945000000.0,13081000000.0,69000000.0,7743000000.0,631000000.0,10046700000.0,0.5856082276142621
ホーブ,1382,水産・農林業,スタンダード（内国株式）,2024-06-30,北海道,1399910912,1.8517343,2519019000.0,32705000.0,-0.06702,20012000.0,0.00995,0.03148,0.684833811158508,,354197000.0,205032000.0,984893000.0,8012000.0,351517000.0,,630696000.0,0.4505258117453691
ベルグアース,1383,水産・農林業,スタンダード（内国株式）,2024-10-31,愛媛県,4777211904,2.3993287,7094887000.0,22459000.0,0.00691,39936000.0,0.00151,0.0098,0.3640227838875453,,3557188000.0,1972654000.0,2821698000.0,2167386000.0,924359000.0,157408000.0,-625304400.0,-0.13089316793262348
ホクリヨウ,1384,水産・農林業,スタンダード（内国株式）,2025-03-31,北海道,20622841856,2.0829134,19397000000.0,1932000000.0,0.14823,2181000000.0,0.07208,0.11241999,0.7364696086594504,,5064000000.0,3555000000.0,6795000000.0,1519000000.0,4194000000.0,530000000.0,2102000000.0,0.10192581675587281
光フードサービス,138A,小売業,グロース（内国株式）,2024-11-30,愛知県,2876800000,2.2197251,2566847000.0,217082000.0,0.092650004,100327000.0,0.041160002,,0.5178734835211373,,1161221000.0,519436000.0,1502113000.0,749016000.0,1321909000.0,,340892000.0,0.11849694104560624
エムビーエス,1401,建設業,グロース（内国株式）,2025-05-31,山口県,8600076288,2.382404,4713000000.0,626045000.0,0.14616,472287000.0,0.100150004,0.1317,0.7577554803440234,,1181763000.0,1169950000.0,3290133000.0,10775000.0,1827413000.0,712307000.0,2606984900.0,0.3031350900500291
ウエストホールディングス,1407,建設業,スタンダード（内国株式）,2024-08-31,東京都,74163388416,2.3564072,50390000000.0,10598000000.0,0.08173,6757000000.0,0.11567,0.16892,0.2639300380469749,7.069676,92501000000.0,34507000000.0,76518000000.0,75335000000.0,27676000000.0,1742000000.0,-14763600000.0,-0.1990685743373465
ショーボンドホールディングス,1414,建設業,プライム（内国株式）,2025-06-30,東京都,245282947072,2.333783,90712000000.0,20794000000.0,0.19748,15061000000.0,0.16603,0.14265001,0.8137586620727033,15.440254,22763000000.0,20538000000.0,100241000000.0,,32523000000.0,10286000000.0,84678200000.0,0.34522660874236677
ミライト・ワン,1417,建設業,プライム（内国株式）,2025-03-31,東京都,250697990144,0.9931732,578599000000.0,27985000000.0,0.00847,17179000000.0,0.02596,0.06068,0.4862953960936439,13.010802,267864000000.0,160983000000.0,321194000000.0,127491000000.0,53475000000.0,19397000000.0,66907900000.0,0.2668864635155964
インターライフホールディングス,1418,建設業,スタンダード（内国株式）,2025-02-28,東京都,6183761408,1.4318833,16940669000.0,875644000.0,0.10711,705077000.0,0.04559,0.19715999,0.4465537708712912,,5223472000.0,4049042000.0,6957357000.0,1749188000.0,1513427000.0,536023000.0,2109101100.0,0.3410709050435602
タマホーム,1419,建設業,プライム（内国株式）,2025-05-31,東京都,101893554176,2.9753416,200817000000.0,4113000000.0,0.11767,1478000000.0,0.00736,0.04099,0.3710212129748001,,58028000000.0,44837000000.0,67570000000.0,19049000000.0,31001000000.0,315000000.0,9762500000.0,0.09581077114198318
トライアルホールディングス,141A,小売業,グロース（内国株式）,2025-06-30,福岡県,274947768320,2.179809,803829000000.0,21106000000.0,0.037,11752000000.0,0.014570001,0.09861,0.4200137869942687,15.961375,171257000000.0,151064000000.0,143172000000.0,38558000000.0,72325000000.0,5741000000.0,-24066300000.0,-0.08753044313489483
