会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
アバントグループ,3836,情報・通信業,プライム（内国株式）,2025-06-30,東京都,54269063168.0,3.483031,28227703000.0,4604154000.0,0.1342,3434688000.0,0.12166,0.23739,0.6393147678860939,13.457013,8775067000.0,8440619000.0,20765941000.0,33223000.0,14593169000.0,830184000.0,12572002800.0,0.23166058277219606
アドソル日進,3837,情報・通信業,プライム（内国株式）,2025-03-31,東京都,22103965696.0,3.1034355,15463041000.0,1710918000.0,0.13246,1209503000.0,0.0801,0.17577,0.7157121043856094,12.436149,2810241000.0,2215390000.0,6679608000.0,,2887453000.0,1822796000.0,5145324200.0,0.2327783290457745
ＯＤＫソリューションズ,3839,情報・通信業,スタンダード（内国株式）,2025-03-31,大阪府,4889898496.0,0.8017537,6472393000.0,516129000.0,-0.20833,263367000.0,0.03737,0.03985,0.6813046354624472,,2949154000.0,1787471000.0,5840706000.0,1144132000.0,3273321000.0,1183723000.0,3720158100.0,0.7607843195606488
パス,3840,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,7474504192.0,2.9722981,2253739000.0,-208368000.0,-0.25876,-276771000.0,-0.16129999,-0.19839,0.7609645886219178,,777412000.0,557829000.0,1540257000.0,293392000.0,154663000.0,,762845000.0,0.1020596123039809
ジーダット,3841,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,5092660736.0,2.0000756,2062768000.0,256991000.0,0.17219,213428000.0,0.061160002,0.04393,0.8410840432333062,,679107000.0,675407000.0,3107601000.0,,2545775000.0,132121000.0,2520978700.0,0.4950219208947517
ネクストジェン,3842,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,3539874048.0,1.5614793,3620794000.0,262272000.0,0.14442,204883000.0,0.08179,0.14658,0.614379600599011,,1363745000.0,1049945000.0,2753732000.0,475770000.0,1809821000.0,,1389987000.0,0.39266566582653734
フリービット,3843,情報・通信業,プライム（内国株式）,2025-04-30,東京都,33242750976.0,4.7878866,55073206000.0,5883783000.0,0.111169994,2748537000.0,0.05262,0.32386002,0.16028032419817345,9.2094145,32022361000.0,15846408000.0,34104399000.0,21750041000.0,20677536000.0,1076831000.0,2835819700.0,0.08530640866778305
コムチュア,3844,情報・通信業,プライム（内国株式）,2025-03-31,東京都,49714642944.0,2.6647067,36341000000.0,4631000000.0,0.09691,3160000000.0,0.088360004,0.18142,0.7210573581664129,13.2793865,7143000000.0,6590000000.0,20843000000.0,200000000.0,12881000000.0,88000000.0,13761600000.0,0.27681180402927685
アイフリークモバイル,3845,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,4781522432.0,5.707611,2004586000.0,-61871000.0,0.02623,-110605000.0,-0.02315,-0.08405,0.6175781235970794,,532402000.0,315050000.0,1383737000.0,287724000.0,1003616000.0,,851335000.0,0.1780468484896151
パシフィックシステム,3847,情報・通信業,スタンダード（内国株式）,2025-03-31,埼玉県,10061076480.0,1.5128967,11354180000.0,867074000.0,0.034089997,654717000.0,0.0583,0.105,0.6853433103059484,,3068718000.0,2576476000.0,6739902000.0,420995000.0,2783851000.0,290287000.0,3874384900.0,0.3850865171039829
