会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
ニチハ,7943,ガラス・土石製品,プライム（内国株式）,2025-03-31,愛知県,90766221312.0,0.7640365,148478000000.0,6956000000.0,0.03341,2706000000.0,0.01184,0.01285,0.7026401059423516,10.140342,53298000000.0,34813000000.0,86002000000.0,16182000000.0,26481000000.0,10210000000.0,39851000000.0,0.4390509974301573
ローランド,7944,その他製品,プライム（内国株式）,2024-12-31,静岡県,85347622912.0,2.1469479,99433000000.0,9952000000.0,0.102390006,5976000000.0,0.06288,0.14415,0.5689579094452479,9.913713,34905000000.0,21085000000.0,57993000000.0,20442000000.0,14478000000.0,724000000.0,23594800000.0,0.2764552684065737
光陽社,7946,その他製品,スタンダード（内国株式）,2025-03-31,東京都,827623360.0,0.4681006,4726835000.0,60476000.0,-0.00849,60694000.0,0.011460001,0.02928,0.5622224757372022,,1392977000.0,724166000.0,2089839000.0,433510000.0,1005863000.0,113349000.0,776206300.0,0.93787384155034
エフピコ,7947,化学,プライム（内国株式）,2025-03-31,広島県,200186396672.0,1.306384,235628000000.0,18471000000.0,0.06798,12486000000.0,0.05807,,0.5250319957840849,14.747751,138113000000.0,84372000000.0,98847000000.0,80513000000.0,19020000000.0,10274000000.0,-32074200000.0,-0.160221676063997
小松ウオール工業,7949,その他製品,プライム（内国株式）,2025-03-31,石川県,43302318080.0,1.1607852,44616000000.0,3636000000.0,0.03194,2650000000.0,0.060149997,0.0723,0.8081529643254342,,8970000000.0,6373000000.0,31322000000.0,189000000.0,16714000000.0,475000000.0,22684500000.0,0.5238634097622886
ヤマハ,7951,その他製品,プライム（内国株式）,2025-03-31,静岡県,440645615616.0,0.99154043,462080000000.0,20695000000.0,0.044180002,13351000000.0,0.01392,0.013200001,0.7590913242163585,12.739547,141166000000.0,106658000000.0,351933000000.0,19957000000.0,99819000000.0,54037000000.0,248592900000.0,0.5641560727944153
河合楽器製作所,7952,その他製品,プライム（内国株式）,2025-03-31,静岡県,22160703488.0,0.5222024,72918000000.0,317000000.0,-0.028099999,405000000.0,0.0070999996,0.01219,0.6019651038639835,5.273174,29451000000.0,17475000000.0,48518000000.0,8446000000.0,13300000000.0,7232000000.0,24129400000.0,1.088837275092194
菊水化学工業,7953,その他製品,スタンダード（内国株式）,2025-03-31,愛知県,4789842944.0,0.5032361,21390614000.0,264907000.0,0.01844,165822000.0,0.0057599996,0.01386,0.5873068684325086,,6538900000.0,4961091000.0,10348348000.0,1831584000.0,4062634000.0,1750100000.0,5034518000.0,1.051082062368348
クリナップ,7955,その他製品,プライム（内国株式）,2025-03-31,東京都,27120916480.0,0.47534585,129987000000.0,2071000000.0,0.017970001,1719000000.0,0.0152900005,0.03514,0.6309996131955573,,33389000000.0,27812000000.0,55467000000.0,7181000000.0,18767000000.0,4811000000.0,25445700000.0,0.9382315681980964
ピジョン,7956,その他製品,プライム（内国株式）,2024-12-31,東京都,206960279552.0,2.6501105,104171000000.0,12139000000.0,0.12246,8371000000.0,0.08838,0.11618,0.7491875023082321,24.17214,23701000000.0,17383000000.0,73462000000.0,1769000000.0,39201000000.0,553000000.0,50148100000.0,0.2423078481946096
フジコピアン,7957,その他製品,スタンダード（内国株式）,2024-12-31,大阪府,2341943552.0,0.22761625,8984085000.0,-15587000.0,-0.012940001,397757000.0,0.04678,0.04079,0.6425956838141175,,5876663000.0,3229374000.0,8180107000.0,2523312000.0,2857775000.0,1265449000.0,3189258300.0,1.3617998167703065
キングジム,7962,その他製品,プライム（内国株式）,2025-06-30,東京都,23429103616.0,0.9741425,39639500000.0,537715000.0,0.01716,424944000.0,0.0107,0.01754,0.6772779797419926,,11460881000.0,8210456000.0,24063443000.0,6278288000.0,6831528000.0,2977800000.0,14687022000.0,0.6268708457958275
興研,7963,その他製品,スタンダード（内国株式）,2024-12-31,,8457468928.0,0.6448698,10762379000.0,1009770000.0,0.03363,722061000.0,0.07026,0.06073,0.6247269767135146,,7830579000.0,4127620000.0,10017998000.0,5184585000.0,2531339000.0,956504000.0,2856971800.0,0.3378045872023805
象印マホービン,7965,電気機器,プライム（内国株式）,2024-11-30,大阪府,103434043392.0,1.2167404,87221000000.0,5955000000.0,0.03822,6462000000.0,0.0642,0.06821,0.7533741689829135,21.80723,27466000000.0,21331000000.0,84644000000.0,3192000000.0,33726000000.0,9272000000.0,63668400000.0,0.6155458871380094
リンテック,7966,その他製品,プライム（内国株式）,2025-03-31,東京都,240645210112.0,1.0257198,315978000000.0,24564000000.0,0.075289994,14476000000.0,0.039130002,0.05213,0.7206604967823985,13.356352,94349000000.0,69989000000.0,192767000000.0,10345000000.0,55511000000.0,2109000000.0,99894300000.0,0.415110277713434
信越ポリマー,7970,化学,プライム（内国株式）,2025-03-31,東京都,151473782784.0,1.2469827,110582000000.0,13272000000.0,0.13658,9430000000.0,0.0,0.08655,0.8049716317619683,14.222055,29837000000.0,26566000000.0,99414000000.0,,44901000000.0,929000000.0,70227300000.0,0.4636267656967633
東リ,7971,化学,スタンダード（内国株式）,2025-03-31,兵庫県,32326406144.0,0.68215,105709000000.0,4377000000.0,0.01676,3507000000.0,0.0,0.07613,0.5107746935564462,,45687000000.0,32761000000.0,52734000000.0,9780000000.0,8212000000.0,8276000000.0,12840200000.0,0.3972046859401111
イトーキ,7972,その他製品,プライム（内国株式）,2024-12-31,東京都,117689745408.0,2.1832402,138460000000.0,10077000000.0,0.08778,7183000000.0,0.06238,0.17982,0.4087088557180906,13.954306,71181000000.0,55426000000.0,70624000000.0,37549000000.0,22482000000.0,6548000000.0,4026600000.0,0.0342136860441053
任天堂,7974,その他製品,プライム（内国株式）,2025-03-31,京都府,14436677976064.0,5.344171,1164922000000.0,282554000000.0,0.09946,278806000000.0,0.19715,0.11111,0.8016224733449757,36.435226,673070000000.0,597646000000.0,2752352000000.0,,1586275000000.0,369373000000.0,2337843100000.0,0.1619377466115225
リヒトラブ,7975,その他製品,スタンダード（内国株式）,2025-02-28,大阪府,3983370240.0,0.37792882,9220521000.0,178737000.0,-0.0053,411573000.0,0.04301,0.038540002,0.791923191742956,,2794973000.0,1302014000.0,7205604000.0,437500000.0,2332122000.0,1110475000.0,5187963500.0,1.3024055479211494
三菱鉛筆,7976,その他製品,プライム（内国株式）,2024-12-31,東京都,119256137728.0,0.91212785,88820000000.0,12190000000.0,0.111049995,11272000000.0,0.08641,0.06137,0.7256686698967102,12.237961,46173000000.0,24396000000.0,95205000000.0,11623000000.0,41349000000.0,26130000000.0,67323000000.0,0.564524403377465
松風,7979,精密機器,プライム（内国株式）,2025-03-31,京都府,67393806336.0,1.5835445,38698000000.0,5392000000.0,0.15737,4317000000.0,0.10455,0.09596,0.8532023842861143,14.006058,7261000000.0,5218000000.0,27521000000.0,,10653000000.0,8709000000.0,26356300000.0,0.391078964565341
重松製作所,7980,その他製品,スタンダード（内国株式）,2025-03-31,東京都,5546864128.0,0.6405892,14112597000.0,1069333000.0,0.00238,780581000.0,0.04723,0.07751,0.4746365214762261,,9480661000.0,7319801000.0,10433841000.0,5038672000.0,1475776000.0,1931600000.0,2305300000.0,0.4156041948752778
タカラスタンダード,7981,その他製品,プライム（内国株式）,2025-03-31,大阪府,161014022144.0,0.8540638,243380000000.0,15635000000.0,0.06836,11090000000.0,0.0,,0.7024058010790354,,82408000000.0,63067000000.0,160391000000.0,6750000000.0,68059000000.0,14745000000.0,88304500000.0,0.5484273905102902
ミロク,7983,その他製品,スタンダード（内国株式）,2024-10-31,高知県,3572045568.0,0.26035318,10918396000.0,-519127000.0,0.01764,-2294180000.0,-0.15711,-0.13232,0.5888802376885368,,9299469000.0,3799307000.0,10490484000.0,5480000000.0,1299638000.0,4308756000.0,4207144200.0,1.1777969009380789
コクヨ,7984,その他製品,プライム（内国株式）,2024-12-31,大阪府,368385884160.0,1.4368342,338227000000.0,22029000000.0,0.04996,21787000000.0,0.057930004,0.0749,0.7178524296132621,3.9479485,98899000000.0,87742000000.0,252884000000.0,4176000000.0,102238000000.0,22362000000.0,169638400000.0,0.4604910429367088
ネポン,7985,金属製品,スタンダード（内国株式）,2025-03-31,東京都,1527206144.0,0.73671305,7277473000.0,38807000.0,-0.25147,-280180000.0,-0.05238,-0.16863,0.3872721879238704,,3691133000.0,2638282000.0,4533781000.0,1932990000.0,521373000.0,80156000.0,898757200.0,0.588497632445355
日本アイ・エス・ケイ,7986,その他製品,スタンダード（内国株式）,2024-12-31,,2585700096.0,0.58566254,5901003000.0,518714000.0,0.10654,433582000.0,0.06414,0.089329995,0.6903382755842062,,1851660000.0,1276746000.0,2808132000.0,,1170233000.0,215922000.0,1107617400.0,0.4283626711827294
ナカバヤシ,7987,その他製品,スタンダード（内国株式）,2025-03-31,東京都,15545354240.0,0.5398059,62767000000.0,1793000000.0,0.03906,1995000000.0,0.03864,0.08394,0.507493284320656,7.526596,27209000000.0,15829000000.0,29789000000.0,13578000000.0,7739000000.0,3081000000.0,4736700000.0,0.304701966058253
ニフコ,7988,化学,プライム（内国株式）,2025-03-31,神奈川県,409117196288.0,1.5139339,353038000000.0,49205000000.0,0.15196,44767000000.0,0.12983,0.17743,0.7239479116203635,12.534368,101092000000.0,67223000000.0,259565000000.0,35484000000.0,146232000000.0,684000000.0,158951800000.0,0.3885238788352106
立川ブラインド工業,7989,金属製品,プライム（内国株式）,2024-12-31,東京都,37368664064.0,0.6921276,41407715000.0,4361317000.0,0.07399,2802387000.0,0.071339995,0.056929998,0.8299877832672191,13.91467,10854050000.0,7916845000.0,39563568000.0,137997000.0,15537861000.0,3626611000.0,31248145700.0,0.8362125455296555
グローブライド,7990,その他製品,プライム（内国株式）,2025-03-31,東京都,54069366784.0,0.9059513,123983000000.0,6509000000.0,0.07488,4783000000.0,0.0395,0.08417,0.5354563563449372,13.61505,52690000000.0,29118000000.0,73233000000.0,29556000000.0,12299000000.0,6692000000.0,25227400000.0,0.4665747261435508
マミヤ・オーピー,7991,機械,スタンダード（内国株式）,2025-03-31,東京都,17630953472.0,0.70410454,33707297000.0,6399609000.0,0.19238001,4718416000.0,0.11986,0.16529,0.6180832731584162,,15505327000.0,8157146000.0,26490269000.0,7892281000.0,14238023000.0,5991783000.0,15179190100.0,0.8609398308552237
セーラー万年筆,7992,その他製品,スタンダード（内国株式）,2024-12-31,東京都,3142185216.0,2.8308187,4677810000.0,-270061000.0,-0.09378,-1145770000.0,-0.21936001,-0.6284,0.2639843937123942,,3498937000.0,2446845000.0,3886829000.0,1926387000.0,579828000.0,12159000.0,396403300.0,0.1261552940869033
オカムラ,7994,その他製品,プライム（内国株式）,2025-03-31,神奈川県,211894108160.0,1.1495728,314527000000.0,23938000000.0,0.04142,22045000000.0,0.062179998,0.11018,0.640307251749993,10.012522,102351000000.0,53723000000.0,139618000000.0,35839000000.0,26245000000.0,43971000000.0,68046700000.0,0.3211354038622835
バルカー,7995,化学,プライム（内国株式）,2025-03-31,東京都,62729527296.0,1.2648666,60113000000.0,5670000000.0,0.12438,4676000000.0,0.07885,0.094399996,0.6487156753144957,9.791266,27304000000.0,18569000000.0,46430000000.0,14505000000.0,7969000000.0,3949000000.0,21890300000.0,0.3489632545245698
くろがね工作所,7997,その他製品,スタンダード（内国株式）,2024-11-30,大阪府,1710152320.0,0.37017894,7203796000.0,-27217000.0,0.06342,209383000.0,0.022969998,0.03225,0.5677775774452423,,3478727000.0,2032712000.0,4138242000.0,883315000.0,907857000.0,1313701000.0,1579105700.0,0.9233713754807524
ＭＵＴＯＨホールディングス,7999,電気機器,スタンダード（内国株式）,2025-03-31,東京都,11942919168.0,0.507076,18128000000.0,1319000000.0,0.07004,1373000000.0,0.03888,0.03254,0.7903925757778074,39.60546,5351000000.0,3994000000.0,18607000000.0,,10648000000.0,3857000000.0,15955900000.0,1.3360133963522445
伊藤忠商事,8001,卸売業,プライム（内国株式）,2025-03-31,東京都,11709267836928.0,2.0495195,14724234000000.0,698080000000.0,0.04797,880251000000.0,0.06521,0.16028999,0.3802677156946648,12.870981,8843552000000.0,4486584000000.0,5723799000000.0,4621705000000.0,549573000000.0,147917000000.0,-3016211100000.0,-0.2575917761901091
丸紅,8002,卸売業,プライム（内国株式）,2025-03-31,東京都,5960097071104.0,1.6586505,7790168000000.0,272310000000.0,0.039470002,502965000000.0,0.06514,0.13904001,0.3943975499170069,11.646238,5433341000000.0,2822988000000.0,4021442000000.0,2535010000000.0,569144000000.0,139253000000.0,-1314421900000.0,-0.2205369953406693
スクロール,8005,小売業,プライム（内国株式）,2025-03-31,静岡県,37201252352.0,1.0098132,84030000000.0,6052000000.0,0.07789,4267000000.0,0.0464,0.1096,0.6508602227298687,,19563000000.0,17903000000.0,38679000000.0,,8125000000.0,2368000000.0,20773600000.0,0.5584113084000296
ユアサ・フナショク,8006,卸売業,スタンダード（内国株式）,2025-03-31,千葉県,28417574912.0,0.7253621,123092000000.0,2731000000.0,0.02421,2050000000.0,0.017760001,0.05666,0.6045806511801474,,25007000000.0,22628000000.0,33314000000.0,2053000000.0,10627000000.0,11927000000.0,16655900000.0,0.5861126451351993
高島,8007,卸売業,プライム（内国株式）,2025-03-31,,26660306944.0,1.1493,94503000000.0,2133000000.0,0.021760002,1566000000.0,0.01926,0.07616,0.3984244887082806,,36121000000.0,27808000000.0,41351000000.0,12093000000.0,9080000000.0,2567000000.0,7026900000.0,0.2635716090876226
ヨンドシーホールディングス,8008,小売業,プライム（内国株式）,2025-02-28,東京都,36850757632.0,0.9396628,45902000000.0,1960000000.0,0.03426,1377000000.0,0.025239998,0.03827,0.5855114747195236,23.002682,27561000000.0,12305000000.0,19939000000.0,14915000000.0,1708000000.0,21475000000.0,7410500000.0,0.2010949157138892
