会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
小池酸素工業,6137,機械,スタンダード（内国株式）,2025-03-31,東京都,28017160192,0.66352063,55206000000.0,5453000000.0,0.05187,3633000000.0,0.06005,0.08602,0.5693985415133471,,29167000000.0,22565000000.0,41686000000.0,7232000000.0,16984000000.0,11019000000.0,20232300000.0,0.7221395695120134
ダイジェット工業,6138,機械,スタンダード（内国株式）,2025-03-31,大阪府,3090481664,0.38873595,8793113000.0,219183000.0,0.06216,205422000.0,0.04177,0.047459997,0.4975815269081181,,8016245000.0,3513817000.0,8394425000.0,5314332000.0,1346849000.0,1659690000.0,1539963000.0,0.4982922299583655
旭ダイヤモンド工業,6140,機械,プライム（内国株式）,2025-03-31,東京都,41054740480,0.68119097,41006000000.0,2312000000.0,0.05835,2493000000.0,0.0616,0.042880002,0.8074812379667587,15.422231,12772000000.0,6640000000.0,34456000000.0,2234000000.0,14752000000.0,10778000000.0,29228600000.0,0.7119421450061009
ＤＭＧ森精機,6141,機械,プライム（内国株式）,2024-12-31,東京都,427290722304,1.3786151,555007000000.0,43728000000.0,0.04212,7700000000.0,0.02079,0.03362,0.39435182248011763,10.594398,481088000000.0,399420000000.0,317711000000.0,106450000000.0,41747000000.0,19296000000.0,-149869800000.0,-0.3507443344238439
ソディック,6143,機械,プライム（内国株式）,2024-12-31,神奈川県,44116434944,0.5399809,73668000000.0,2233000000.0,0.0454,4115000000.0,0.05641,0.05351,0.581924644638017,38.13485,60568000000.0,34440000000.0,101522000000.0,37153000000.0,47762000000.0,6657000000.0,45613900000.0,1.0339434738527906
西部電機,6144,機械,スタンダード（内国株式）,2025-03-31,福岡県,31256334336,1.0312557,33352000000.0,3193000000.0,0.033350002,2350000000.0,0.07362,0.08186,0.6634849496886513,,15618000000.0,11788000000.0,23409000000.0,416000000.0,8436000000.0,5571000000.0,11690700000.0,0.37402658527794935
ＮＩＴＴＯＫＵ,6145,機械,スタンダード（内国株式）,2025-03-31,埼玉県,38063640576,1.0473732,33268000000.0,1120000000.0,0.0535,1307000000.0,0.0537,0.05032,0.6023007531242242,20.486742,23815000000.0,16328000000.0,41527000000.0,8033000000.0,14907000000.0,2999000000.0,19811300000.0,0.5204783278794273
ディスコ,6146,機械,プライム（内国株式）,2025-03-31,東京都,5582844067840,11.52159,393313000000.0,166834000000.0,0.38079,123891000000.0,0.0,,0.7527316702518166,37.84149,161387000000.0,160392000000.0,424502000000.0,,229167000000.0,3510000000.0,265572000000.0,0.047569302809266835
ヤマザキ,6147,機械,スタンダード（内国株式）,2025-03-31,静岡県,1393296512,1.0825906,3093870000.0,77791000.0,-0.056799997,57305000.0,0.00693,0.01596,0.3583665507375456,,2530098000.0,1867528000.0,2183228000.0,1961237000.0,847190000.0,186145000.0,-216568500.0,-0.15543604547543718
小田原エンジニアリング,6149,機械,スタンダード（内国株式）,2024-12-31,神奈川県,14401317888,0.8215733,13175682000.0,1163982000.0,0.25876,865129000.0,0.100530006,0.11334,0.5891057826204357,13.612764,11467650000.0,11203050000.0,21654620000.0,,10364627000.0,501741000.0,10538188700.0,0.731751689807571
タケダ機械,6150,機械,スタンダード（内国株式）,2025-05-31,石川県,2749784832,0.52729523,4890771000.0,431529000.0,0.07327,293670000.0,0.05992,0.05738,0.6847483722513507,,2401405000.0,1559083000.0,5267692000.0,1512075000.0,1478277000.0,107143000.0,2941287100.0,1.0696426374061838
日東工器,6151,機械,プライム（内国株式）,2025-03-31,東京都,32207357952,0.56388384,27256000000.0,2345000000.0,0.06909,1345000000.0,0.02015,0.00955,0.8733728699046618,,8423000000.0,4174000000.0,38687000000.0,1586000000.0,20305000000.0,4123000000.0,33150100000.0,1.0292710146981012
高松機械工業,6155,機械,スタンダード（内国株式）,2025-03-31,石川県,4825166336,0.30411994,13893000000.0,-160000000.0,-0.01792,-645000000.0,-0.044970002,-0.03824,0.7429693206720234,,5624000000.0,3788000000.0,13404000000.0,1722000000.0,5355000000.0,1116000000.0,8561200000.0,1.7742808027416364
エーワン精密,6156,機械,スタンダード（内国株式）,2024-06-30,東京都,8860702720,1.1837931,1601549000.0,164561000.0,0.09535,120523000.0,-0.13899,-0.028199999,0.9152526099407611,,758206000.0,210657000.0,6569229000.0,2903000.0,5917303000.0,873002000.0,6422124400.0,0.7247872547968747
日進工具,6157,機械,プライム（内国株式）,2025-03-31,東京都,18714073088,1.0238526,9431090000.0,1767267000.0,0.17212,1264700000.0,0.13856,0.07264,0.9234766880404134,4.347323,1526021000.0,1301067000.0,13791530000.0,,9868215000.0,660233000.0,12727672100.0,0.680112343269694
和井田製作所,6158,機械,スタンダード（内国株式）,2025-03-31,岐阜県,5698548224,0.56259733,7554307000.0,709373000.0,-0.06365,435087000.0,0.05217,0.03759,0.8146708398282756,,2247052000.0,1478558000.0,8794513000.0,744230000.0,4812270000.0,410023000.0,6834477100.0,1.199336538245991
ミクロン精密,6159,機械,スタンダード（内国株式）,2024-08-31,山形県,7798887936,0.5736643,4699084000.0,388982000.0,0.09052,484148000.0,0.13525,0.05788,0.8696870188734701,,1934963000.0,1499516000.0,10584630000.0,306100000.0,5543522000.0,1754787000.0,9878017900.0,1.266593132387843
エスティック,6161,機械,スタンダード（内国株式）,2025-03-31,大阪府,10037527552,0.9921445,7881304000.0,1637412000.0,0.11283,1181838000.0,0.14895001,0.12809,0.8608468132697182,9.087631,1485826000.0,1160544000.0,8421127000.0,35302000.0,3360567000.0,277427000.0,7129499900.0,0.7102844662757046
パンチ工業,6165,機械,スタンダード（内国株式）,2025-03-31,東京都,11059849216,0.5347608,40822000000.0,1686000000.0,0.03795,868000000.0,0.02105,0.04363,0.6674855929633,3.9723322,10936000000.0,8668000000.0,23518000000.0,3101000000.0,6495000000.0,1248000000.0,13455600000.0,1.2166169481347113
中村超硬,6166,機械,グロース（内国株式）,2025-03-31,大阪府,3262185984,3.1038966,2640960000.0,7776000.0,-0.01475,-32793000.0,0.07941,0.20849001,0.15308051561966046,3.6976888,4535347000.0,3291986000.0,2458717000.0,2923515000.0,1308830000.0,1572000.0,-2075529600.0,-0.6362388932390189
